path,prob_fake
data\deepdetect-2025_dddata\ddata\train\real\03805.jpg,0.99658203
data\deepdetect-2025_dddata\ddata\train\real\44155.jpg,0.99609375
data\deepdetect-2025_dddata\ddata\train\real\06839.jpg,0.99511719
data\deepdetect-2025_dddata\ddata\train\real\13443.jpg,0.99511719
data\deepdetect-2025_dddata\ddata\train\real\44027.jpg,0.99462891
data\deepdetect-2025_dddata\ddata\train\real\13396.jpg,0.99365234
data\deepdetect-2025_dddata\ddata\train\real\48714.jpg,0.99316406
data\deepdetect-2025_dddata\ddata\train\real\21312.jpg,0.99218750
data\deepdetect-2025_dddata\ddata\train\real\56578.jpg,0.99218750
data\deepdetect-2025_dddata\ddata\train\real\64354.jpg,0.99169922
data\deepdetect-2025_dddata\ddata\train\real\25393.jpg,0.99169922
data\deepdetect-2025_dddata\ddata\train\real\14530.jpg,0.99023438
data\deepdetect-2025_dddata\ddata\train\real\00400.jpg,0.98974609
data\deepdetect-2025_dddata\ddata\train\real\50233.jpg,0.98876953
data\deepdetect-2025_dddata\ddata\train\real\02177.jpg,0.98876953
data\deepdetect-2025_dddata\ddata\train\real\05544.jpg,0.98828125
data\deepdetect-2025_dddata\ddata\train\real\14557.jpg,0.98828125
data\deepdetect-2025_dddata\ddata\train\real\51168.jpg,0.98779297
data\deepdetect-2025_dddata\ddata\train\real\62459.jpg,0.98779297
data\deepdetect-2025_dddata\ddata\train\real\08186.jpg,0.98730469
data\deepdetect-2025_dddata\ddata\train\real\27584.jpg,0.98681641
data\deepdetect-2025_dddata\ddata\train\real\33437.jpg,0.98632812
data\deepdetect-2025_dddata\ddata\train\real\58440.jpg,0.98583984
data\deepdetect-2025_dddata\ddata\train\real\25789.jpg,0.98583984
data\deepdetect-2025_dddata\ddata\train\real\20973.jpg,0.98583984
data\deepdetect-2025_dddata\ddata\train\real\66368.jpg,0.98486328
data\deepdetect-2025_dddata\ddata\train\real\47445.jpg,0.98437500
data\deepdetect-2025_dddata\ddata\train\real\43804.jpg,0.98339844
data\deepdetect-2025_dddata\ddata\train\real\09121.jpg,0.98291016
data\deepdetect-2025_dddata\ddata\train\real\21096.jpg,0.98242188
data\deepdetect-2025_dddata\ddata\train\real\66471.jpg,0.98242188
data\deepdetect-2025_dddata\ddata\train\real\36518.jpg,0.98193359
data\deepdetect-2025_dddata\ddata\train\real\15229.jpg,0.98193359
data\deepdetect-2025_dddata\ddata\train\real\37232.jpg,0.98095703
data\deepdetect-2025_dddata\ddata\train\real\61682.jpg,0.97949219
data\deepdetect-2025_dddata\ddata\train\real\53018.jpg,0.97900391
data\deepdetect-2025_dddata\ddata\train\real\09183.jpg,0.97900391
data\deepdetect-2025_dddata\ddata\train\real\47227.jpg,0.97900391
data\deepdetect-2025_dddata\ddata\train\real\24980.jpg,0.97851562
data\deepdetect-2025_dddata\ddata\train\real\10038.jpg,0.97802734
data\deepdetect-2025_dddata\ddata\train\real\17885.jpg,0.97753906
data\deepdetect-2025_dddata\ddata\train\real\00242.jpg,0.97656250
data\deepdetect-2025_dddata\ddata\train\real\34256.jpg,0.97607422
data\deepdetect-2025_dddata\ddata\train\real\57137.jpg,0.97558594
data\deepdetect-2025_dddata\ddata\train\real\00355.jpg,0.97460938
data\deepdetect-2025_dddata\ddata\train\real\02514.jpg,0.97460938
data\deepdetect-2025_dddata\ddata\train\real\60277.jpg,0.97460938
data\deepdetect-2025_dddata\ddata\train\real\56498.jpg,0.97412109
data\deepdetect-2025_dddata\ddata\train\real\20693.jpg,0.97314453
data\deepdetect-2025_dddata\ddata\train\real\23853.jpg,0.97216797
data\deepdetect-2025_dddata\ddata\train\real\54560.jpg,0.97167969
data\deepdetect-2025_dddata\ddata\train\real\29478.jpg,0.97167969
data\deepdetect-2025_dddata\ddata\train\real\65205.jpg,0.97070312
data\deepdetect-2025_dddata\ddata\train\real\39078.jpg,0.97021484
data\deepdetect-2025_dddata\ddata\train\real\62234.jpg,0.96972656
data\deepdetect-2025_dddata\ddata\train\real\64286.jpg,0.96972656
data\deepdetect-2025_dddata\ddata\train\real\49796.jpg,0.96972656
data\deepdetect-2025_dddata\ddata\train\real\58400.jpg,0.96923828
data\deepdetect-2025_dddata\ddata\train\real\62395.jpg,0.96826172
data\deepdetect-2025_dddata\ddata\train\real\59318.jpg,0.96826172
data\deepdetect-2025_dddata\ddata\train\real\06112.jpg,0.96826172
data\deepdetect-2025_dddata\ddata\train\real\61159.jpg,0.96777344
data\deepdetect-2025_dddata\ddata\train\real\03758.jpg,0.96777344
data\deepdetect-2025_dddata\ddata\train\real\40959.jpg,0.96728516
data\deepdetect-2025_dddata\ddata\train\real\36546.jpg,0.96679688
data\deepdetect-2025_dddata\ddata\train\real\27351.jpg,0.96533203
data\deepdetect-2025_dddata\ddata\train\real\61385.jpg,0.96484375
data\deepdetect-2025_dddata\ddata\train\real\64896.jpg,0.96435547
data\deepdetect-2025_dddata\ddata\train\real\15141.jpg,0.96289062
data\deepdetect-2025_dddata\ddata\train\real\59272.jpg,0.96240234
data\deepdetect-2025_dddata\ddata\train\real\28690.jpg,0.96191406
data\deepdetect-2025_dddata\ddata\train\real\60378.jpg,0.96191406
data\deepdetect-2025_dddata\ddata\train\real\08787.jpg,0.96142578
data\deepdetect-2025_dddata\ddata\train\real\25855.jpg,0.96142578
data\deepdetect-2025_dddata\ddata\train\real\65277.jpg,0.96093750
data\deepdetect-2025_dddata\ddata\train\real\26212.jpg,0.95996094
data\deepdetect-2025_dddata\ddata\train\real\60960.jpg,0.95996094
data\deepdetect-2025_dddata\ddata\train\real\03573.jpg,0.95996094
data\deepdetect-2025_dddata\ddata\train\real\27892.jpg,0.95996094
data\deepdetect-2025_dddata\ddata\train\real\05639.jpg,0.95800781
data\deepdetect-2025_dddata\ddata\train\real\23171.jpg,0.95751953
data\deepdetect-2025_dddata\ddata\train\real\45218.jpg,0.95751953
data\deepdetect-2025_dddata\ddata\train\real\17689.jpg,0.95751953
data\deepdetect-2025_dddata\ddata\train\real\32475.jpg,0.95703125
data\deepdetect-2025_dddata\ddata\train\real\08402.jpg,0.95654297
data\deepdetect-2025_dddata\ddata\train\real\23078.jpg,0.95654297
data\deepdetect-2025_dddata\ddata\train\real\12188.jpg,0.95654297
data\deepdetect-2025_dddata\ddata\train\real\34655.jpg,0.95605469
