path,prob_fake
data\deepdetect-2025_dddata\ddata\train\real\40118.jpg,0.99951172
data\deepdetect-2025_dddata\ddata\train\real\15141.jpg,0.99951172
data\deepdetect-2025_dddata\ddata\train\real\44039.jpg,0.99755859
data\deepdetect-2025_dddata\ddata\train\real\26068.jpg,0.99707031
data\deepdetect-2025_dddata\ddata\train\real\22253.jpg,0.99414062
data\deepdetect-2025_dddata\ddata\train\real\29478.jpg,0.99267578
data\deepdetect-2025_dddata\ddata\train\real\53646.jpg,0.99023438
data\deepdetect-2025_dddata\ddata\train\real\61918.jpg,0.98779297
data\deepdetect-2025_dddata\ddata\train\real\14757.jpg,0.98730469
data\deepdetect-2025_dddata\ddata\train\real\03805.jpg,0.98730469
data\deepdetect-2025_dddata\ddata\train\real\23497.jpg,0.98681641
data\deepdetect-2025_dddata\ddata\train\real\05544.jpg,0.98681641
data\deepdetect-2025_dddata\ddata\train\real\50233.jpg,0.98583984
data\deepdetect-2025_dddata\ddata\train\real\11839.jpg,0.98535156
data\deepdetect-2025_dddata\ddata\train\real\48760.jpg,0.98535156
data\deepdetect-2025_dddata\ddata\train\real\26717.jpg,0.98535156
data\deepdetect-2025_dddata\ddata\train\real\44889.jpg,0.98486328
data\deepdetect-2025_dddata\ddata\train\real\07897.jpg,0.98486328
data\deepdetect-2025_dddata\ddata\train\real\15261.jpg,0.98437500
data\deepdetect-2025_dddata\ddata\train\real\31738.jpg,0.98388672
data\deepdetect-2025_dddata\ddata\train\real\07502.jpg,0.98339844
data\deepdetect-2025_dddata\ddata\train\real\40959.jpg,0.98339844
data\deepdetect-2025_dddata\ddata\train\real\61548.jpg,0.98242188
data\deepdetect-2025_dddata\ddata\train\real\09619.jpg,0.98144531
data\deepdetect-2025_dddata\ddata\train\real\35859.jpg,0.98144531
data\deepdetect-2025_dddata\ddata\train\real\36546.jpg,0.98095703
data\deepdetect-2025_dddata\ddata\train\real\40708.jpg,0.98046875
data\deepdetect-2025_dddata\ddata\train\real\26452.jpg,0.97998047
data\deepdetect-2025_dddata\ddata\train\real\00400.jpg,0.97851562
data\deepdetect-2025_dddata\ddata\train\real\45284.jpg,0.97802734
data\deepdetect-2025_dddata\ddata\train\real\47144.jpg,0.97753906
data\deepdetect-2025_dddata\ddata\train\real\66359.jpg,0.97753906
data\deepdetect-2025_dddata\ddata\train\real\05812.jpg,0.97656250
data\deepdetect-2025_dddata\ddata\train\real\49996.jpg,0.97656250
