path,prob_fake
data\deepdetect-2025_dddata\ddata\train\real\09183.jpg,0.99951172
data\deepdetect-2025_dddata\ddata\train\real\07502.jpg,0.99609375
data\deepdetect-2025_dddata\ddata\train\real\61804.jpg,0.99511719
data\deepdetect-2025_dddata\ddata\train\real\62395.jpg,0.99414062
data\deepdetect-2025_dddata\ddata\train\real\47144.jpg,0.99365234
data\deepdetect-2025_dddata\ddata\train\real\14557.jpg,0.99218750
data\deepdetect-2025_dddata\ddata\train\real\63885.jpg,0.99169922
data\deepdetect-2025_dddata\ddata\train\real\67907.jpg,0.99121094
data\deepdetect-2025_dddata\ddata\train\real\45218.jpg,0.99023438
data\deepdetect-2025_dddata\ddata\train\real\48369.jpg,0.99023438
data\deepdetect-2025_dddata\ddata\train\real\61757.jpg,0.98925781
data\deepdetect-2025_dddata\ddata\train\real\02177.jpg,0.98925781
data\deepdetect-2025_dddata\ddata\train\real\27584.jpg,0.98876953
data\deepdetect-2025_dddata\ddata\train\real\47227.jpg,0.98828125
data\deepdetect-2025_dddata\ddata\train\real\12391.jpg,0.98828125
data\deepdetect-2025_dddata\ddata\train\real\22253.jpg,0.98828125
data\deepdetect-2025_dddata\ddata\train\real\11309.jpg,0.98828125
data\deepdetect-2025_dddata\ddata\train\real\26783.jpg,0.98779297
data\deepdetect-2025_dddata\ddata\train\real\50055.jpg,0.98779297
data\deepdetect-2025_dddata\ddata\train\real\64354.jpg,0.98779297
data\deepdetect-2025_dddata\ddata\train\real\26658.jpg,0.98632812
data\deepdetect-2025_dddata\ddata\train\real\18012.jpg,0.98632812
data\deepdetect-2025_dddata\ddata\train\real\39215.jpg,0.98583984
data\deepdetect-2025_dddata\ddata\train\real\24868.jpg,0.98583984
data\deepdetect-2025_dddata\ddata\train\real\39482.jpg,0.98535156
data\deepdetect-2025_dddata\ddata\train\real\23232.jpg,0.98535156
data\deepdetect-2025_dddata\ddata\train\real\39078.jpg,0.98486328
data\deepdetect-2025_dddata\ddata\train\real\20781.jpg,0.98437500
data\deepdetect-2025_dddata\ddata\train\real\33709.jpg,0.98388672
data\deepdetect-2025_dddata\ddata\train\real\29985.jpg,0.98388672
data\deepdetect-2025_dddata\ddata\train\real\12272.jpg,0.98388672
data\deepdetect-2025_dddata\ddata\train\real\42864.jpg,0.98339844
data\deepdetect-2025_dddata\ddata\train\real\10122.jpg,0.98291016
data\deepdetect-2025_dddata\ddata\train\real\23078.jpg,0.98242188
data\deepdetect-2025_dddata\ddata\train\real\22779.jpg,0.98193359
data\deepdetect-2025_dddata\ddata\train\real\67896.jpg,0.98193359
data\deepdetect-2025_dddata\ddata\train\real\16323.jpg,0.98144531
data\deepdetect-2025_dddata\ddata\train\real\64896.jpg,0.98095703
data\deepdetect-2025_dddata\ddata\train\real\31549.jpg,0.98046875
data\deepdetect-2025_dddata\ddata\train\real\44710.jpg,0.97998047
data\deepdetect-2025_dddata\ddata\train\real\45659.jpg,0.97949219
data\deepdetect-2025_dddata\ddata\train\real\41788.jpg,0.97949219
data\deepdetect-2025_dddata\ddata\train\real\54297.jpg,0.97851562
data\deepdetect-2025_dddata\ddata\train\real\02675.jpg,0.97753906
data\deepdetect-2025_dddata\ddata\train\real\50921.jpg,0.97705078
data\deepdetect-2025_dddata\ddata\train\real\32993.jpg,0.97705078
data\deepdetect-2025_dddata\ddata\train\real\44889.jpg,0.97607422
data\deepdetect-2025_dddata\ddata\train\real\28308.jpg,0.97509766
data\deepdetect-2025_dddata\ddata\train\real\61529.jpg,0.97509766
data\deepdetect-2025_dddata\ddata\train\real\53077.jpg,0.97460938
data\deepdetect-2025_dddata\ddata\train\real\03805.jpg,0.97460938
data\deepdetect-2025_dddata\ddata\train\real\65873.jpg,0.97363281
data\deepdetect-2025_dddata\ddata\train\real\03588.jpg,0.97265625
data\deepdetect-2025_dddata\ddata\train\real\47992.jpg,0.97216797
data\deepdetect-2025_dddata\ddata\train\real\06425.jpg,0.97216797
data\deepdetect-2025_dddata\ddata\train\real\40559.jpg,0.97216797
