path,prob_fake
data\deepdetect-2025_dddata\ddata\train\real\15261.jpg,0.99658203
data\deepdetect-2025_dddata\ddata\train\real\11839.jpg,0.99609375
data\deepdetect-2025_dddata\ddata\train\real\56394.jpg,0.99462891
data\deepdetect-2025_dddata\ddata\train\real\34160.jpg,0.99414062
data\deepdetect-2025_dddata\ddata\train\real\14557.jpg,0.99316406
data\deepdetect-2025_dddata\ddata\train\real\29478.jpg,0.99267578
data\deepdetect-2025_dddata\ddata\train\real\26061.jpg,0.99267578
data\deepdetect-2025_dddata\ddata\train\real\22253.jpg,0.99267578
data\deepdetect-2025_dddata\ddata\train\real\10229.jpg,0.99169922
data\deepdetect-2025_dddata\ddata\train\real\40118.jpg,0.99169922
data\deepdetect-2025_dddata\ddata\train\real\19972.jpg,0.99169922
data\deepdetect-2025_dddata\ddata\train\real\53646.jpg,0.99121094
data\deepdetect-2025_dddata\ddata\train\real\06839.jpg,0.99072266
data\deepdetect-2025_dddata\ddata\train\real\03677.jpg,0.98925781
data\deepdetect-2025_dddata\ddata\train\real\01383.jpg,0.98876953
data\deepdetect-2025_dddata\ddata\train\real\03332.jpg,0.98828125
data\deepdetect-2025_dddata\ddata\train\real\61894.jpg,0.98828125
data\deepdetect-2025_dddata\ddata\train\real\27584.jpg,0.98779297
data\deepdetect-2025_dddata\ddata\train\real\07502.jpg,0.98779297
data\deepdetect-2025_dddata\ddata\train\real\00400.jpg,0.98632812
data\deepdetect-2025_dddata\ddata\train\real\66984.jpg,0.98535156
data\deepdetect-2025_dddata\ddata\train\real\49996.jpg,0.98535156
data\deepdetect-2025_dddata\ddata\train\real\58754.jpg,0.98437500
data\deepdetect-2025_dddata\ddata\train\real\09121.jpg,0.98339844
data\deepdetect-2025_dddata\ddata\train\real\03805.jpg,0.98193359
data\deepdetect-2025_dddata\ddata\train\real\29985.jpg,0.98144531
data\deepdetect-2025_dddata\ddata\train\real\62395.jpg,0.98095703
data\deepdetect-2025_dddata\ddata\train\real\65946.jpg,0.98046875
data\deepdetect-2025_dddata\ddata\train\real\29457.jpg,0.97998047
data\deepdetect-2025_dddata\ddata\train\real\40516.jpg,0.97900391
data\deepdetect-2025_dddata\ddata\train\real\31571.jpg,0.97802734
data\deepdetect-2025_dddata\ddata\train\real\22791.jpg,0.97607422
data\deepdetect-2025_dddata\ddata\train\real\61918.jpg,0.97607422
data\deepdetect-2025_dddata\ddata\train\real\42943.jpg,0.97558594
data\deepdetect-2025_dddata\ddata\train\real\58592.jpg,0.97509766
data\deepdetect-2025_dddata\ddata\train\real\12991.jpg,0.97460938
data\deepdetect-2025_dddata\ddata\train\real\37683.jpg,0.97363281
data\deepdetect-2025_dddata\ddata\train\real\54560.jpg,0.97363281
data\deepdetect-2025_dddata\ddata\train\real\22020.jpg,0.97314453
data\deepdetect-2025_dddata\ddata\train\real\31922.jpg,0.97314453
data\deepdetect-2025_dddata\ddata\train\real\12123.jpg,0.97265625
data\deepdetect-2025_dddata\ddata\train\real\17445.jpg,0.97265625
data\deepdetect-2025_dddata\ddata\train\real\57137.jpg,0.97265625
data\deepdetect-2025_dddata\ddata\train\real\25789.jpg,0.97216797
data\deepdetect-2025_dddata\ddata\train\real\11309.jpg,0.97167969
data\deepdetect-2025_dddata\ddata\train\real\39840.jpg,0.97167969
data\deepdetect-2025_dddata\ddata\train\real\56600.jpg,0.97119141
data\deepdetect-2025_dddata\ddata\train\real\58847.jpg,0.97119141
data\deepdetect-2025_dddata\ddata\train\real\66471.jpg,0.97070312
data\deepdetect-2025_dddata\ddata\train\real\47144.jpg,0.97021484
data\deepdetect-2025_dddata\ddata\train\real\34784.jpg,0.97021484
data\deepdetect-2025_dddata\ddata\train\real\43626.jpg,0.97021484
data\deepdetect-2025_dddata\ddata\train\real\53019.jpg,0.96972656
data\deepdetect-2025_dddata\ddata\train\real\23497.jpg,0.96923828
data\deepdetect-2025_dddata\ddata\train\real\56216.jpg,0.96923828
data\deepdetect-2025_dddata\ddata\train\real\32374.jpg,0.96923828
data\deepdetect-2025_dddata\ddata\train\real\67011.jpg,0.96826172
data\deepdetect-2025_dddata\ddata\train\real\33969.jpg,0.96826172
data\deepdetect-2025_dddata\ddata\train\real\58440.jpg,0.96728516
data\deepdetect-2025_dddata\ddata\train\real\42476.jpg,0.96728516
data\deepdetect-2025_dddata\ddata\train\real\53352.jpg,0.96582031
data\deepdetect-2025_dddata\ddata\train\real\21844.jpg,0.96582031
data\deepdetect-2025_dddata\ddata\train\real\48025.jpg,0.96533203
data\deepdetect-2025_dddata\ddata\train\real\29256.jpg,0.96484375
data\deepdetect-2025_dddata\ddata\train\real\52986.jpg,0.96435547
data\deepdetect-2025_dddata\ddata\train\real\53486.jpg,0.96435547
data\deepdetect-2025_dddata\ddata\train\real\12963.jpg,0.96435547
data\deepdetect-2025_dddata\ddata\train\real\16386.jpg,0.96435547
data\deepdetect-2025_dddata\ddata\train\real\50233.jpg,0.96435547
data\deepdetect-2025_dddata\ddata\train\real\54124.jpg,0.96435547
data\deepdetect-2025_dddata\ddata\train\real\66832.jpg,0.96435547
data\deepdetect-2025_dddata\ddata\train\real\09452.jpg,0.96289062
data\deepdetect-2025_dddata\ddata\train\real\67562.jpg,0.96289062
data\deepdetect-2025_dddata\ddata\train\real\43404.jpg,0.96240234
data\deepdetect-2025_dddata\ddata\train\real\33217.jpg,0.96240234
data\deepdetect-2025_dddata\ddata\train\real\25987.jpg,0.96240234
data\deepdetect-2025_dddata\ddata\train\real\05639.jpg,0.96142578
data\deepdetect-2025_dddata\ddata\train\real\19749.jpg,0.96142578
data\deepdetect-2025_dddata\ddata\train\real\43010.jpg,0.96142578
data\deepdetect-2025_dddata\ddata\train\real\59783.jpg,0.96142578
data\deepdetect-2025_dddata\ddata\train\real\05544.jpg,0.96093750
data\deepdetect-2025_dddata\ddata\train\real\42352.jpg,0.96093750
data\deepdetect-2025_dddata\ddata\train\real\61956.jpg,0.95996094
data\deepdetect-2025_dddata\ddata\train\real\49504.jpg,0.95947266
data\deepdetect-2025_dddata\ddata\train\real\04605.jpg,0.95947266
data\deepdetect-2025_dddata\ddata\train\real\34628.jpg,0.95947266
data\deepdetect-2025_dddata\ddata\train\real\23096.jpg,0.95947266
data\deepdetect-2025_dddata\ddata\train\real\41938.jpg,0.95947266
data\deepdetect-2025_dddata\ddata\train\real\38670.jpg,0.95898438
data\deepdetect-2025_dddata\ddata\train\real\40308.jpg,0.95849609
data\deepdetect-2025_dddata\ddata\train\real\65342.jpg,0.95849609
data\deepdetect-2025_dddata\ddata\train\real\25248.jpg,0.95800781
data\deepdetect-2025_dddata\ddata\train\real\57982.jpg,0.95751953
data\deepdetect-2025_dddata\ddata\train\real\14858.jpg,0.95703125
data\deepdetect-2025_dddata\ddata\train\real\42447.jpg,0.95703125
data\deepdetect-2025_dddata\ddata\train\real\13257.jpg,0.95654297
data\deepdetect-2025_dddata\ddata\train\real\22033.jpg,0.95654297
data\deepdetect-2025_dddata\ddata\train\real\22349.jpg,0.95654297
data\deepdetect-2025_dddata\ddata\train\real\21271.jpg,0.95654297
data\deepdetect-2025_dddata\ddata\train\real\59730.jpg,0.95605469
data\deepdetect-2025_dddata\ddata\train\real\03573.jpg,0.95605469
data\deepdetect-2025_dddata\ddata\train\real\27949.jpg,0.95507812
data\deepdetect-2025_dddata\ddata\train\real\15249.jpg,0.95507812
data\deepdetect-2025_dddata\ddata\train\real\15024.jpg,0.95458984
data\deepdetect-2025_dddata\ddata\train\real\57213.jpg,0.95361328
data\deepdetect-2025_dddata\ddata\train\real\67471.jpg,0.95361328
data\deepdetect-2025_dddata\ddata\train\real\11102.jpg,0.95312500
data\deepdetect-2025_dddata\ddata\train\real\65235.jpg,0.95214844
